candidate_id,source_id,module_id,grade,subject,subdomain,screen_id,activity_id,record_key,pair_method,candidate_bucket,module_quality_score,module_risk_level,module_quality_flags,review_priority,auto_decision,qa_flags,en_record_text,ne_record_text,en_sentence_index,ne_sentence_index,en_text,ne_text
EPAATH_grade1__english__friends_and_festivals_candidate_00001,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,medium,review_carefully,lesson_metadata;module_low_coverage,Friends and Festivals,हाम्रा चाडपर्वहरू,1,1,Friends and Festivals,हाम्रा चाडपर्वहरू
EPAATH_grade1__english__friends_and_festivals_candidate_00002,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,lesson/levelname,lesson/levelname,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,medium,review_carefully,lesson_metadata;module_low_coverage,Level 1,तह १,1,1,Level 1,तह १
EPAATH_grade1__english__friends_and_festivals_candidate_00003,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,medium,review_carefully,lesson_metadata;module_low_coverage,"Read words, simple sentences and short paragraphs correctly.","आफ्ना समुदायका संस्कारहरू (दसैँ, तिहार, छठ, क्रिस्मस, इद, विभिन्न जात्रा आदि) को अवस्था झल्कने सामान्य रेखाङ्कन गर्न",1,1,"Read words, simple sentences and short paragraphs correctly.","आफ्ना समुदायका संस्कारहरू (दसैँ, तिहार, छठ, क्रिस्मस, इद, विभिन्न जात्रा आदि) को अवस्था झल्कने सामान्य रेखाङ्कन गर्न"
EPAATH_grade1__english__friends_and_festivals_candidate_00005,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,medium,review_carefully,lesson_metadata;module_low_coverage,English,विज्ञान,1,1,English,विज्ञान
EPAATH_grade1__english__friends_and_festivals_candidate_00007,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,s1_P1_txt2,strings/string#id=s1_P1_txt2,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,Udhauli,उधौली,1,1,Udhauli,उधौली
EPAATH_grade1__english__friends_and_festivals_candidate_00008,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,s1_P1_txt3,strings/string#id=s1_P1_txt3,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage;very_short,Chhath,छठ,1,1,Chhath,छठ
EPAATH_grade1__english__friends_and_festivals_candidate_00009,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,s1_P1_txt4,strings/string#id=s1_P1_txt4,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,Mha Puja,महा पुजा,1,1,Mha Puja,महा पुजा
EPAATH_grade1__english__friends_and_festivals_candidate_00010,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,s1_P1_txt5,strings/string#id=s1_P1_txt5,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,Dashain,दशैं,1,1,Dashain,दशैं
EPAATH_grade1__english__friends_and_festivals_candidate_00011,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,s1_P1_txt6,strings/string#id=s1_P1_txt6,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,Christmas,क्रिसमस,1,1,Christmas,क्रिसमस
EPAATH_grade1__english__friends_and_festivals_candidate_00012,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,s1_P1_txt7,strings/string#id=s1_P1_txt7,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage;very_short,Eid,ईद,1,1,Eid,ईद
EPAATH_grade1__english__friends_and_festivals_candidate_00013,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,page1,s1_T1_txt,strings/string#id=s1_T1_txt,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,Look at the picture below.,तलको चित्रमा हेर्नुहोस्।,1,1,Look at the picture below.,तलको चित्रमा हेर्नुहोस्।
EPAATH_grade1__english__friends_and_festivals_candidate_00014,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,page1,s1_T2_txt,strings/string#id=s1_T2_txt,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,Let’s learn more about these festivals.,यी चाडपर्वहरूको बारेमा थप जानौं।,1,1,Let’s learn more about these festivals.,यी चाडपर्वहरूको बारेमा थप जानौं।
EPAATH_grade1__english__friends_and_festivals_candidate_00015,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,page1,s1_talk1,strings/string#id=s1_talk1,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,"Namaste, I am Rahul.","नमस्ते, म राहुल हुँ।",1,1,"Namaste, I am Rahul.","नमस्ते, म राहुल हुँ।"
EPAATH_grade1__english__friends_and_festivals_candidate_00016,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,page1,s1_talk2,strings/string#id=s1_talk2,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,I met lots of friends at school.,स्कूलमा धेरै साथीहरू भेटेँ।,1,1,I met lots of friends at school.,स्कूलमा धेरै साथीहरू भेटेँ।
EPAATH_grade1__english__friends_and_festivals_candidate_00017,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,page1,s1_talk3,strings/string#id=s1_talk3,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,I have friends from different parts of Nepal.,मेरो नेपालका विभिन्न भागबाट साथीहरू छन्।,1,1,I have friends from different parts of Nepal.,मेरो नेपालका विभिन्न भागबाट साथीहरू छन्।
EPAATH_grade1__english__friends_and_festivals_candidate_00018,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,page1,s1_talk4,strings/string#id=s1_talk4,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,They celebrate different festivals.,उनीहरुले विभिन्न चाडपर्व मनाउँछन् ।,1,1,They celebrate different festivals.,उनीहरुले विभिन्न चाडपर्व मनाउँछन् ।
EPAATH_grade1__english__friends_and_festivals_candidate_00019,EPAATH_grade1__english__friends_and_festivals,grade1/english/friends_and_festivals,1,english,english_language,overview,title,strings/string#id=title,exact_record_key,high_exact_single_sentence,65,medium,low_overlap_min;low_overlap_max,high,review_first,module_low_coverage,Friends and Festivals,साथीहरू र चाडपर्वहरू,1,1,Friends and Festivals,साथीहरू र चाडपर्वहरू
EPAATH_grade1__english__i_likee_to_play_candidate_00007,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,covertext,strings/string#id=covertext,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,I like to play,सजीव र निर्जीव,1,1,I like to play,सजीव र निर्जीव
EPAATH_grade1__english__i_likee_to_play_candidate_00008,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,s1p2,strings/string#id=s1p2,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,"And, I am Anjan.",त्यसैले उनीहरू आमासँगै बाहिर निस्किए।,1,1,"And, I am Anjan.",त्यसैले उनीहरू आमासँगै बाहिर निस्किए।
EPAATH_grade1__english__i_likee_to_play_candidate_00009,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,s1p3,strings/string#id=s1p3,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,"Today, we are talking about what we like and don’t like.",बाटोमा सोनुले गोठ देखी।,1,1,"Today, we are talking about what we like and don’t like.",बाटोमा सोनुले गोठ देखी।
EPAATH_grade1__english__i_likee_to_play_candidate_00010,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,s1p4,strings/string#id=s1p4,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,What fruit do you like?,ऊ त्यतैतिर लागी।,1,1,What fruit do you like?,ऊ त्यतैतिर लागी।
EPAATH_grade1__english__i_likee_to_play_candidate_00011,EPAATH_grade1__english__i_likee_to_play,grade1/english/i_likee_to_play,1,english,english_language,page1,s1p5,strings/string#id=s1p5,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,I like mangoes.,उसले गाईलाई राम्ररी हेर्दैछे।,1,1,I like mangoes.,उसले गाईलाई राम्ररी हेर्दैछे।
EPAATH_grade1__english__identifying_letters_i_candidate_00005,EPAATH_grade1__english__identifying_letters_i,grade1/english/identifying_letters_i,1,english,english_language,page1,p1text2,strings/string#id=p1text2,exact_record_key,high_exact_single_sentence,35,high,low_overlap_min;low_overlap_max,medium,review_carefully,module_high_risk;module_low_coverage,Let’s look at the first 8 letters.,उसको नाम रामु थियो।,1,1,Let’s look at the first 8 letters.,उसको नाम रामु थियो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00001,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,Identifying Letters (I to P),झूटो नबोल,1,1,Identifying Letters (I to P),झूटो नबोल
EPAATH_grade1__english__identifying_letters_sec_candidate_00002,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,To identify letters from I to P,सरल कथा हाउभाउसहित पढ्न,1,1,To identify letters from I to P,सरल कथा हाउभाउसहित पढ्न
EPAATH_grade1__english__identifying_letters_sec_candidate_00004,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,English,नेपाली,1,1,English,नेपाली
EPAATH_grade1__english__identifying_letters_sec_candidate_00005,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page1,p1text1,strings/string#id=p1text1,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,There are 26 letters in the English alphabet.,एकादेशमा एउटा केटो थियो।,1,1,There are 26 letters in the English alphabet.,एकादेशमा एउटा केटो थियो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00006,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page1,p1text2,strings/string#id=p1text2,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,We already looked at the first 8 letters.,उसको नाम रामु थियो।,1,1,We already looked at the first 8 letters.,उसको नाम रामु थियो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00007,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text1,strings/string#id=p2text1,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#A@NT,केहि बेरपछि उसले अलि पर अनौठो अावाज सुन्यो।,1,1,#A@NT,केहि बेरपछि उसले अलि पर अनौठो अावाज सुन्यो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00008,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text2,strings/string#id=p2text2,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,#B@ALL,तर अावाज झनै नजिक अायो।,1,1,#B@ALL,तर अावाज झनै नजिक अायो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00009,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text3,strings/string#id=p2text3,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#C@AT,“घुर्र... घुर्र…” गर्दै एउटा ठुलो र डरलाग्दो स्याल अाफूतिर अाइरहेको उसले देख्यो।,1,1,#C@AT,“घुर्र... घुर्र…” गर्दै एउटा ठुलो र डरलाग्दो स्याल अाफूतिर अाइरहेको उसले देख्यो।
EPAATH_grade1__english__identifying_letters_sec_candidate_00010,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text5,strings/string#id=p2text5,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#E@GG,आँखा राता राता भए।,1,1,#E@GG,आँखा राता राता भए।
EPAATH_grade1__english__identifying_letters_sec_candidate_00011,EPAATH_grade1__english__identifying_letters_sec,grade1/english/identifying_letters_sec,1,english,english_language,page2,p2text8,strings/string#id=p2text8,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#H@EN,अाफ्नै आँखाअगाडि अाफ्नो प्यारो भेडालाई स्यालले अाहार बनाएको देखेर रामु चिच्च्याई-चिच्च्याई रोयो।,1,1,#H@EN,अाफ्नै आँखाअगाडि अाफ्नो प्यारो भेडालाई स्यालले अाहार बनाएको देखेर रामु चिच्च्याई-चिच्च्याई रोयो।
EPAATH_grade1__english__identifying_letters_third_candidate_00001,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,Identifying Letters (Q to Z),झूटो नबोल,1,1,Identifying Letters (Q to Z),झूटो नबोल
EPAATH_grade1__english__identifying_letters_third_candidate_00002,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,overview,lesson/objective/description/purpose,lesson/objective/description/purpose,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,To identify letters from Q to Z,सरल कथा हाउभाउसहित पढ्न,1,1,To identify letters from Q to Z,सरल कथा हाउभाउसहित पढ्न
EPAATH_grade1__english__identifying_letters_third_candidate_00004,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,overview,lesson/subject,lesson/subject,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,medium,review_carefully,lesson_metadata,English,नेपाली,1,1,English,नेपाली
EPAATH_grade1__english__identifying_letters_third_candidate_00005,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page1,p1text1,strings/string#id=p1text1,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,There are 26 letters in the English alphabet.,एकादेशमा एउटा केटो थियो।,1,1,There are 26 letters in the English alphabet.,एकादेशमा एउटा केटो थियो।
EPAATH_grade1__english__identifying_letters_third_candidate_00006,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page1,p1text2,strings/string#id=p1text2,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,We already looked at the first 8 letters,उसको नाम रामु थियो।,1,1,We already looked at the first 8 letters,उसको नाम रामु थियो।
EPAATH_grade1__english__identifying_letters_third_candidate_00007,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text1,strings/string#id=p2text1,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#A@NT,केहि बेरपछि उसले अलि पर अनौठो अावाज सुन्यो।,1,1,#A@NT,केहि बेरपछि उसले अलि पर अनौठो अावाज सुन्यो।
EPAATH_grade1__english__identifying_letters_third_candidate_00008,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text2,strings/string#id=p2text2,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,,#B@ALL,तर अावाज झनै नजिक अायो।,1,1,#B@ALL,तर अावाज झनै नजिक अायो।
EPAATH_grade1__english__identifying_letters_third_candidate_00009,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text3,strings/string#id=p2text3,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#C@AT,“घुर्र... घुर्र…” गर्दै एउटा ठुलो र डरलाग्दो स्याल अाफूतिर अाइरहेको उसले देख्यो।,1,1,#C@AT,“घुर्र... घुर्र…” गर्दै एउटा ठुलो र डरलाग्दो स्याल अाफूतिर अाइरहेको उसले देख्यो।
EPAATH_grade1__english__identifying_letters_third_candidate_00010,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text5,strings/string#id=p2text5,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#E@GG,आँखा राता राता भए।,1,1,#E@GG,आँखा राता राता भए।
EPAATH_grade1__english__identifying_letters_third_candidate_00011,EPAATH_grade1__english__identifying_letters_third,grade1/english/identifying_letters_third,1,english,english_language,page2,p2text8,strings/string#id=p2text8,exact_record_key,high_exact_single_sentence,60,medium,low_overlap_min,high,review_first,very_short,#H@EN,अाफ्नै आँखाअगाडि अाफ्नो प्यारो भेडालाई स्यालले अाहार बनाएको देखेर रामु चिच्च्याई-चिच्च्याई रोयो।,1,1,#H@EN,अाफ्नै आँखाअगाडि अाफ्नो प्यारो भेडालाई स्यालले अाहार बनाएको देखेर रामु चिच्च्याई-चिच्च्याई रोयो।
EPAATH_grade1__english__lines_and_curves_candidate_00001,EPAATH_grade1__english__lines_and_curves,grade1/english/lines_and_curves,1,english,english_language,overview,lesson/chapter,lesson/chapter,exact_record_key,high_exact_single_sentence,60,medium,,medium,review_carefully,lesson_metadata,Lines And Curves,१ देखि ५ सम्मका सङ्ख्याहरू,1,1,Lines And Curves,१ देखि ५ सम्मका सङ्ख्याहरू
